Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Myxofibrosarcoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hyperprolinemia type 2,{'Deletion': '1.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '96.0%'}
Congenital bile acid synthesis defect type 4,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Grange syndrome,{'Deletion': '9.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '91.0%'}
Complement hyperactivation-angiopathic thrombosis-protein-losing enteropathy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Folinic acid-responsive seizures,{'Deletion': '25.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '75.0%'}
Pyridoxal phosphate-responsive seizures,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '93.0%'}
Bickerstaff brainstem encephalitis,{'Deletion': '11.0%', 'Duplication': '11.0%', 'Indel': '11.0%', 'Insertion': '22.0%', 'Single nucleotide': '44.0%'}
Japanese encephalitis,{'Deletion': '25.0%', 'Duplication': '0.0%', 'Indel': '25.0%', 'Insertion': '25.0%', 'Single nucleotide': '25.0%'}
Cutaneous neuroendocrine carcinoma,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Hereditary painful callosities,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
DEND syndrome,{'Deletion': '25.0%', 'Duplication': '12.0%', 'Indel': '0.0%', 'Insertion': '12.0%', 'Single nucleotide': '50.0%'}
Episodic ataxia type 3,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Episodic ataxia type 4,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Generalized epilepsy-paroxysmal dyskinesia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Trichodysplasia-amelogenesis imperfecta syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Focal facial dermal dysplasia type I,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '80.0%'}
Hepatic veno-occlusive disease-immunodeficiency syndrome,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '87.0%'}
Acute interstitial pneumonia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Respiratory bronchiolitis-interstitial lung disease syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Niemann-Pick disease type B,{'Deletion': '11.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '79.0%'}
Odontoleukodystrophy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Gaucher disease type 3,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Niemann-Pick disease type A,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '79.0%'}
Anophthalmia/microphthalmia-esophageal atresia syndrome,{'Deletion': '35.0%', 'Duplication': '7.000000000000001%', 'Indel': '5.0%', 'Insertion': '13.0%', 'Single nucleotide': '39.0%'}
Microphthalmia-brain atrophy syndrome,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Morgagni-Stewart-Morel syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Majeed syndrome,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
B-cell immunodeficiency-limb anomaly-urogenital malformation syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Auricular abnormalities-cleft lip with or without cleft palate-ocular abnormalities syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Monosomy 9q22.3,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Idiopathic multidrug-resistant nephrotic syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Idiopathic steroid-resistant nephrotic syndrome,{'Deletion': '12.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '76.0%'}
Idiopathic steroid-sensitive nephrotic syndrome with secondary steroid resistance,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Idiopathic non-lupus full-house nephropathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
PPARG-related familial partial lipodystrophy,{'Deletion': '5.0%', 'Duplication': '0.0%', 'Indel': '3.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
IgG4-related dacryoadenitis and sialadenitis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Juvenile polyposis of infancy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Acquired partial lipodystrophy,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Acquired generalized lipodystrophy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
AKT2-related familial partial lipodystrophy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Parenteral nutrition-associated cholestasis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hereditary inclusion body myopathy-joint contractures-ophthalmoplegia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Localized lipodystrophy,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '80.0%'}
North Carolina macular dystrophy,{'Deletion': '8.0%', 'Duplication': '23.0%', 'Indel': '0.0%', 'Insertion': '23.0%', 'Single nucleotide': '46.0%'}
Progressive bifocal chorioretinal atrophy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Bradyopsia,{'Deletion': '10.0%', 'Duplication': '20.0%', 'Indel': '10.0%', 'Insertion': '30.0%', 'Single nucleotide': '30.0%'}
Central areolar choroidal dystrophy,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Oligocone trichromacy,{'Deletion': '43.0%', 'Duplication': '56.99999999999999%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '0.0%'}
Cystoid macular dystrophy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Oguchi disease,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '88.0%'}
Brain malformation-congenital heart disease-postaxial polydactyly syndrome,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Liver adenomatosis,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Periodontal Ehlers-Danlos syndrome,{'Deletion': '5.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '83.0%'}
B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome,{'Deletion': '0.0%', 'Duplication': '10.0%', 'Indel': '0.0%', 'Insertion': '10.0%', 'Single nucleotide': '80.0%'}
X-linked Ehlers-Danlos syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Angioosteohypotrophic syndrome,{'Deletion': '0.0%', 'Duplication': '17.0%', 'Indel': '0.0%', 'Insertion': '17.0%', 'Single nucleotide': '67.0%'}
X-linked sideroblastic anemia,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Mueller-Weiss syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Tropical endomyocardial fibrosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Acquired idiopathic sideroblastic anemia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Primary progressive freezing gait,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Loeffler endocarditis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
6q terminal deletion syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Congenital muscular dystrophy, Ullrich type,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Primary lymphedema,{'Deletion': '8.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '80.0%'}
MORM syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Trichorhinophalangeal syndrome type 1 and 3,{'Deletion': '17.0%', 'Duplication': '12.0%', 'Indel': '0.0%', 'Insertion': '15.0%', 'Single nucleotide': '55.00000000000001%'}
Gaucher disease type 2,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Gaucher disease type 1,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Bleeding diathesis due to a collagen receptor defect,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Zygomycosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Non-24-hour sleep-wake syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Central neurocytoma,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Eosinophilic esophagitis,{'Deletion': '5.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Congenital primary lymphedema of Gordon,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Acute ackee fruit intoxication,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
CELSR1-related late-onset primary lymphedema,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Growth delay due to insulin-like growth factor type 1 deficiency,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '84.0%'}
Growth delay due to insulin-like growth factor I resistance,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Retinal arterial tortuosity,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Osteosclerosis-ichthyosis-premature ovarian failure syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial isolated restrictive cardiomyopathy,{'Deletion': '7.000000000000001%', 'Duplication': '0.0%', 'Indel': '7.000000000000001%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '80.0%'}
Cholesteryl ester storage disease,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '92.0%'}
Wolman disease,{'Deletion': '5.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
EPHB4-related lymphatic-related hydrops fetalis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
PIEZO1-related generalized lymphatic dysplasia with non-immune hydrops fetalis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial thrombocytosis,{'Deletion': '0.0%', 'Duplication': '9.0%', 'Indel': '0.0%', 'Insertion': '9.0%', 'Single nucleotide': '82.0%'}
Cancer-associated retinopathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
GJC2-related late-onset primary lymphedema,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Obesity due to pro-opiomelanocortin deficiency,{'Deletion': '8.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '79.0%'}
Obesity due to prohormone convertase I deficiency,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
Obesity due to melanocortin 4 receptor deficiency,{'Deletion': '13.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '10.0%', 'Single nucleotide': '77.0%'}
Rapid-onset dystonia-parkinsonism,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Benign paroxysmal torticollis of infancy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Psychogenic movement disorders,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Multiple mitochondrial dysfunctions syndrome type 5,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Multiple mitochondrial dysfunctions syndrome type 6,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Microcystic stromal tumor,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
HANAC syndrome,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Tubular renal disease-cardiomyopathy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Spinal muscular atrophy-Dandy-Walker malformation-cataracts syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
M�llerian aplasia,{'Deletion': '18.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '76.0%'}
Global developmental delay-osteopenia-ectodermal defect syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Acitretin/etretinate embryopathy,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Eales disease,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Graft versus host disease,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '80.0%'}
Omenn syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
KRT1-related diffuse nonepidermolytic keratoderma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Uveal melanoma,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
RELA fusion-positive ependymoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dihydropyrimidinuria,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Episodic ataxia type 1,{'Deletion': '11.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '79.0%'}
Andersen-Tawil syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Interstitial cystitis,{'Deletion': '8.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,{'Deletion': '9.0%', 'Duplication': '0.0%', 'Indel': '3.0%', 'Insertion': '3.0%', 'Single nucleotide': '86.0%'}
Myoclonus-dystonia syndrome,{'Deletion': '40.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '50.0%'}
9q21.13 microdeletion syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lamb-Shaffer syndrome,{'Deletion': '25.0%', 'Duplication': '7.000000000000001%', 'Indel': '0.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '61.0%'}
Mixed phenotype acute leukemia,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Bietti crystalline dystrophy,{'Deletion': '8.0%', 'Duplication': '1.0%', 'Indel': '4.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '79.0%'}
Iminoglycinuria,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Neurometabolic disorder due to serine deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Glutaric acidemia type 3,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
L-Arginine:glycine amidinotransferase deficiency,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Glucose-galactose malabsorption,{'Deletion': '1.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '93.0%'}
Morning glory disc anomaly,{'Deletion': '0.0%', 'Duplication': '33.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Aromatic L-amino acid decarboxylase deficiency,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Primary lateral sclerosis,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '92.0%'}
3-hydroxy-3-methylglutaryl-CoA synthase deficiency,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Mitochondrial DNA depletion syndrome,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Nanophthalmos,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
X-linked dominant chondrodysplasia punctata,{'Deletion': '8.0%', 'Duplication': '8.0%', 'Indel': '4.0%', 'Insertion': '13.0%', 'Single nucleotide': '68.0%'}
ALDH18A1-related De Barsy syndrome,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '97.0%'}
Coenzyme Q10 deficiency,{'Deletion': '6.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '84.0%'}
Desmosterolosis,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '96.0%'}
Isolated plagiocephaly,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '80.0%'}
Epidermal nevus syndrome,{'Deletion': '5.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '95.0%'}
Congenital sucrase-isomaltase deficiency,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '89.0%'}
Lysosomal acid phosphatase deficiency,{'Deletion': '6.0%', 'Duplication': '69.0%', 'Indel': '0.0%', 'Insertion': '19.0%', 'Single nucleotide': '6.0%'}
Generalized epilepsy with febrile seizures-plus,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Paraneoplastic neurologic syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Adiposis dolorosa,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hypocomplementemic urticarial vasculitis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Stevens-Johnson syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
